owner_slug,owner_name,owner_team,transaction_id,amount,donation_date,donation_status,recipient_committee_name,recipient_candidate_id,recipient_candidate_name,legislator_bioguide,legislator_name,legislator_party,legislator_state,vote_bill_id,vote_id,vote_chamber,vote_date,vote_question,vote_result,vote_source_url,legislator_position,days_before_vote
angelos-john-p,John P. Angelos,Baltimore Orioles,SA11AI_523540196,6600.0,2023-03-31,CONFIRMED,ACTBLUE,H6MD08457,,R000606,Jamie Raskin,Democrat,MD,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Nay,-1835
stanton-john,John W. Stanton,Seattle Mariners,SA11AI_526438569,6600.0,2023-04-25,CONFIRMED,ACTBLUE,H6WA09025,,S000510,Adam Smith,Democrat,WA,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Nay,-1860
castellini-bob,Robert H. Castellini,Cincinnati Reds,A17F52F64ED1548F5B19,6600.0,2024-11-01,CONFIRMED,WINRED,S2TX00312,,C001098,Ted Cruz,Republican,TX,115-hr-1625,senate-115-2-63,senate,2018-03-23,On Passage of the Bill,Motion Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00063.xml,Nay,-2415
kendrick-ken,Earl G. Kendrick Jr.,Arizona Diamondbacks,A03885969563C4B80BBB,6500.0,2024-02-22,CONFIRMED,WINRED,H6NE02125,,B001298,Don Bacon,Republican,NE,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Yea,-2163
stanton-john,John W. Stanton,Seattle Mariners,AE267D7A740744662A6E,5800.0,2021-03-07,PROBABLE,WINRED,H4WA04104,,N000189,Dan Newhouse,Republican,WA,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Nay,-1081
kendrick-ken,Earl G. Kendrick Jr.,Arizona Diamondbacks,A9140878DA1D440308BE,5800.0,2022-08-10,CONFIRMED,WINRED,S0WI00197,,J000293,Ron Johnson,Republican,WI,115-hr-1625,senate-115-2-63,senate,2018-03-23,On Passage of the Bill,Motion Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00063.xml,Nay,-1601
pohlad-tom,Thomas Pohlad,Minnesota Twins,SA11AI_211505366,5600.0,2020-02-21,CONFIRMED,ACTBLUE,S8MN00578,,S001203,Tina Smith,Democrat,MN,115-hr-1625,senate-115-2-63,senate,2018-03-23,On Passage of the Bill,Motion Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00063.xml,Yea,-700
reinsdorf-jerry,Jerry M. Reinsdorf,Chicago White Sox,7295040ADA9A4E1CA8EF,5600.0,2020-03-03,CONFIRMED,NO LABELS PROBLEM SOLVERS POLITICAL ACTION COMMITTEE (NO LABELS PROBLEM SOLVERS PAC),S4LA00107,,C001075,Bill Cassidy,Republican,LA,115-hr-1625,senate-115-2-63,senate,2018-03-23,On Passage of the Bill,Motion Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00063.xml,Nay,-711
kendrick-ken,Earl G. Kendrick Jr.,Arizona Diamondbacks,A6B1A9E3194384600A8D,5600.0,2021-01-27,CONFIRMED,WINRED,S0FL00338,,R000595,Marco Rubio,Republican,FL,115-hr-1625,senate-115-2-63,senate,2018-03-23,On Passage of the Bill,Motion Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00063.xml,Yea,-1041
fisher-john,John J. Fisher,Athletics,15375060,3300.0,2023-05-30,CONFIRMED,NEW DEMOCRAT COALITION ACTION FUND,H4CA20082,,C001059,Jim Costa,Democrat,CA,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Yea,-1895
fisher-john,John J. Fisher,Athletics,15375063,3300.0,2023-05-30,CONFIRMED,NEW DEMOCRAT COALITION ACTION FUND,H6CA46116,,C001110,J. Luis Correa,Democrat,CA,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Nay,-1895
fisher-john,John J. Fisher,Athletics,15375062,3300.0,2023-05-30,CONFIRMED,NEW DEMOCRAT COALITION ACTION FUND,H6CA20152,,P000613,Jimmy Panetta,Democrat,CA,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Nay,-1895
kendrick-ken,Earl G. Kendrick Jr.,Arizona Diamondbacks,AC352274A2F3141C5970,3300.0,2023-07-06,CONFIRMED,WINRED,S4SC00240,,S001184,Tim Scott,Republican,SC,115-hr-1625,senate-115-2-63,senate,2018-03-23,On Passage of the Bill,Motion Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00063.xml,Yea,-1931
cohen-steven,Steven A. Cohen,New York Mets,SA11AI_566061575,3300.0,2024-01-23,CONFIRMED,ACTBLUE,H8CT04172,,H001047,James A. Himes,Democrat,CT,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Yea,-2133
cohen-steven,Steven A. Cohen,New York Mets,SA11AI_568548360,3300.0,2024-02-05,CONFIRMED,ACTBLUE,H6NY03247,,S001201,Thomas R. Suozzi,Democrat,NY,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Nay,-2146
stanton-john,John W. Stanton,Seattle Mariners,A3C70812926D7493BB38,3300.0,2024-08-12,CONFIRMED,WINRED,S6WY00068,,B001261,John Barrasso,Republican,WY,115-hr-1625,senate-115-2-63,senate,2018-03-23,On Passage of the Bill,Motion Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00063.xml,Nay,-2334
fisher-john,John J. Fisher,Athletics,17845023,3300.0,2024-09-26,CONFIRMED,NEW DEMOCRAT COALITION ACTION FUND,H4CA20082,,C001059,Jim Costa,Democrat,CA,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Yea,-2380
fisher-john,John J. Fisher,Athletics,17845022,3300.0,2024-09-26,CONFIRMED,NEW DEMOCRAT COALITION ACTION FUND,H6CA20152,,P000613,Jimmy Panetta,Democrat,CA,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Nay,-2380
fisher-john,John J. Fisher,Athletics,17845018,3300.0,2024-09-26,CONFIRMED,NEW DEMOCRAT COALITION ACTION FUND,H2IL10068,,S001190,Bradley Scott Schneider,Democrat,IL,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Yea,-2380
fisher-john,John J. Fisher,Athletics,17845017,3300.0,2024-09-26,CONFIRMED,NEW DEMOCRAT COALITION ACTION FUND,H2IL10068,,S001190,Bradley Scott Schneider,Democrat,IL,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Yea,-2380
stanton-john,John W. Stanton,Seattle Mariners,AA58DBC9A3DEB4DCABE4,2900.0,2021-03-15,PROBABLE,WINRED,H0WA03187,,H001056,Jaime Herrera Beutler,Republican,WA,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Yea,-1089
stanton-john,John W. Stanton,Seattle Mariners,A22C1098571F7486591F,2900.0,2021-03-15,PROBABLE,WINRED,H0WA03187,,H001056,Jaime Herrera Beutler,Republican,WA,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Yea,-1089
stanton-john,John W. Stanton,Seattle Mariners,AB2E4F0FE896748BB909,2900.0,2021-10-12,CONFIRMED,WINRED,S0UT00165,,L000577,Mike Lee,Republican,UT,115-hr-1625,senate-115-2-63,senate,2018-03-23,On Passage of the Bill,Motion Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00063.xml,Nay,-1299
fisher-john,John J. Fisher,Athletics,11270469,2900.0,2021-12-08,CONFIRMED,NEW DEMOCRAT COALITION ACTION FUND,H6CA46116,,C001110,J. Luis Correa,Democrat,CA,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Nay,-1357
fisher-john,John J. Fisher,Athletics,11270468,2900.0,2021-12-08,CONFIRMED,NEW DEMOCRAT COALITION ACTION FUND,H6CA20152,,P000613,Jimmy Panetta,Democrat,CA,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Nay,-1357
kendrick-ken,Earl G. Kendrick Jr.,Arizona Diamondbacks,A51E15CFFE5C14F8E9B2,2900.0,2022-08-29,CONFIRMED,WINRED,S0FL00338,,R000595,Marco Rubio,Republican,FL,115-hr-1625,senate-115-2-63,senate,2018-03-23,On Passage of the Bill,Motion Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00063.xml,Yea,-1620
pohlad-joe,Joseph C. Pohlad,Minnesota Twins,SA11AI_235376354,2800.0,2020-05-18,CONFIRMED,ACTBLUE,S8MN00578,,S001203,Tina Smith,Democrat,MN,115-hr-1625,senate-115-2-63,senate,2018-03-23,On Passage of the Bill,Motion Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00063.xml,Yea,-787
reinsdorf-jerry,Jerry M. Reinsdorf,Chicago White Sox,SA11AI_71067122,2700.0,2017-02-09,CONFIRMED,ACTBLUE,S6IL00151,,D000563,Richard J. Durbin,Democrat,IL,115-hr-1625,senate-115-2-63,senate,2018-03-23,On Passage of the Bill,Motion Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00063.xml,Yea,407
pohlad-joe,Joseph C. Pohlad,Minnesota Twins,SA11AI_120656570,2700.0,2018-08-06,CONFIRMED,ACTBLUE,S2VA00142,,K000384,Tim Kaine,Democrat,VA,115-hr-1625,senate-115-2-63,senate,2018-03-23,On Passage of the Bill,Motion Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00063.xml,Yea,-136
pohlad-tom,Thomas Pohlad,Minnesota Twins,SA11AI_121098375,2700.0,2018-08-09,CONFIRMED,ACTBLUE,S2VA00142,,K000384,Tim Kaine,Democrat,VA,115-hr-1625,senate-115-2-63,senate,2018-03-23,On Passage of the Bill,Motion Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00063.xml,Yea,-139
reinsdorf-jerry,Jerry M. Reinsdorf,Chicago White Sox,AC8DBE03CAE624FBABCB,2500.0,2020-05-22,CONFIRMED,WINRED,H4IL12060,,B001295,Mike Bost,Republican,IL,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Yea,-792
pohlad-tom,Thomas Pohlad,Minnesota Twins,SA11AI_505166268,2500.0,2022-11-11,CONFIRMED,ACTBLUE,S4MI00355,,P000595,Gary C. Peters,Democrat,MI,115-hr-1625,senate-115-2-63,senate,2018-03-23,On Passage of the Bill,Motion Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00063.xml,Yea,-1694
angelos-john-p,John P. Angelos,Baltimore Orioles,SA11AI_517151148,2500.0,2023-02-04,CONFIRMED,ACTBLUE,S4CA00555,,S001150,Adam B. Schiff,Democrat,CA,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Nay,-1780
fisher-john,John J. Fisher,Athletics,19005168,2000.0,2025-06-13,CONFIRMED,NEW DEMOCRAT COALITION ACTION FUND,H2IL10068,,S001190,Bradley Scott Schneider,Democrat,IL,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Yea,-2640
stanton-john,John W. Stanton,Seattle Mariners,SA11AI_157928103,1000.0,2019-05-17,CONFIRMED,ACTBLUE,S6VA00093,,W000805,Mark R. Warner,Democrat,VA,115-hr-1625,senate-115-2-63,senate,2018-03-23,On Passage of the Bill,Motion Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00063.xml,Yea,-420
sherman-bruce,Bruce S. Sherman,Miami Marlins,SA11AI_428137934,1000.0,2022-01-26,PROBABLE,ACTBLUE,H6FL11126,,C001066,Kathy Castor,Democrat,FL,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Yea,-1406
pohlad-tom,Thomas Pohlad,Minnesota Twins,SA11AI_436421464,1000.0,2022-03-18,CONFIRMED,ACTBLUE,S0CT00177,,B001277,Richard Blumenthal,Democrat,CT,115-hr-1625,senate-115-2-63,senate,2018-03-23,On Passage of the Bill,Motion Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00063.xml,Yea,-1456
cohen-steven,Steven A. Cohen,New York Mets,A8536EEA36AC6435DB04,1000.0,2024-08-14,PROBABLE,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE POLITICAL ACTION COMMITTEE,S2TX00312,,C001098,Ted Cruz,Republican,TX,115-hr-1625,senate-115-2-63,senate,2018-03-23,On Passage of the Bill,Motion Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00063.xml,Nay,-2336
cohen-steven,Steven A. Cohen,New York Mets,A93ECBE58E2EA4B42AA6,1000.0,2024-09-14,PROBABLE,AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE POLITICAL ACTION COMMITTEE,H0LA01087,,S001176,Steve Scalise,Republican,LA,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Yea,-2368
fisher-john,John J. Fisher,Athletics,19005167,1000.0,2025-06-13,CONFIRMED,NEW DEMOCRAT COALITION ACTION FUND,H6CA20152,,P000613,Jimmy Panetta,Democrat,CA,115-hr-1625,house-115-2-127,house,2018-03-22,On Passage,Passed,https://clerk.house.gov/evs/2018/roll127.xml,Nay,-2640
pohlad-joe,Joseph C. Pohlad,Minnesota Twins,SA11AI_322861767,500.0,2020-10-12,CONFIRMED,ACTBLUE,S4MI00355,,P000595,Gary C. Peters,Democrat,MI,115-hr-1625,senate-115-2-63,senate,2018-03-23,On Passage of the Bill,Motion Agreed to,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1152/vote_115_2_00063.xml,Yea,-934
